path,distribution,n,rows,cols,epsilon,delta,error_bound,key_count,within_count,within_rate,required_within_lower_bound,pass,max_abs_error
regular,uniform,100,3,4096,0.000663643025,0.049787068368,0.066364302453,100,100,1.000000000000,95.021293163214,true,0.000000000000
fast,uniform,100,3,4096,0.000663643025,0.049787068368,0.066364302453,100,100,1.000000000000,95.021293163214,true,0.000000000000
regular,uniform,1000,3,4096,0.000663643025,0.049787068368,0.663643024526,1000,939,0.939000000000,950.212931632136,false,1.000000000000
fast,uniform,1000,3,4096,0.000663643025,0.049787068368,0.663643024526,1000,932,0.932000000000,950.212931632136,false,1.000000000000
regular,uniform,10000,3,4096,0.000663643025,0.049787068368,6.636430245261,10000,10000,1.000000000000,9502.129316321361,true,4.000000000000
fast,uniform,10000,3,4096,0.000663643025,0.049787068368,6.636430245261,10000,10000,1.000000000000,9502.129316321361,true,4.000000000000
regular,uniform,100000,3,4096,0.000663643025,0.049787068368,66.364302452613,100000,100000,1.000000000000,95021.293163213602,true,14.000000000000
fast,uniform,100000,3,4096,0.000663643025,0.049787068368,66.364302452613,100000,100000,1.000000000000,95021.293163213602,true,15.000000000000
regular,uniform,1000000,3,4096,0.000663643025,0.049787068368,663.643024526134,1000000,1000000,1.000000000000,950212.931632135995,true,50.000000000000
fast,uniform,1000000,3,4096,0.000663643025,0.049787068368,663.643024526134,1000000,1000000,1.000000000000,950212.931632135995,true,57.000000000000
regular,zipf,100,3,4096,0.000663643025,0.049787068368,0.066364302453,56,56,1.000000000000,53.211924171400,true,0.000000000000
fast,zipf,100,3,4096,0.000663643025,0.049787068368,0.066364302453,59,59,1.000000000000,56.062562966296,true,0.000000000000
regular,zipf,1000,3,4096,0.000663643025,0.049787068368,0.663643024526,433,427,0.986143187067,411.442199396715,true,1.000000000000
fast,zipf,1000,3,4096,0.000663643025,0.049787068368,0.663643024526,400,398,0.995000000000,380.085172652854,true,1.000000000000
regular,zipf,10000,3,4096,0.000663643025,0.049787068368,6.636430245261,2092,2087,0.997609942639,1987.845452974429,true,15.000000000000
fast,zipf,10000,3,4096,0.000663643025,0.049787068368,6.636430245261,2088,2085,0.998563218391,1984.044601247900,true,25.000000000000
regular,zipf,100000,3,4096,0.000663643025,0.049787068368,66.364302452613,6547,6542,0.999236291431,6221.044063395595,true,201.000000000000
fast,zipf,100000,3,4096,0.000663643025,0.049787068368,66.364302452613,6491,6478,0.997997226930,6167.832139224195,true,800.000000000000
regular,zipf,1000000,3,4096,0.000663643025,0.049787068368,663.643024526134,8192,8184,0.999023437500,7784.144335930459,true,2407.000000000000
fast,zipf,1000000,3,4096,0.000663643025,0.049787068368,663.643024526134,8192,8174,0.997802734375,7784.144335930459,true,7724.000000000000
