variant,distribution,n,seed,true_distinct,estimate,abs_error,relative_error,theoretical_rse,pass
regular,uniform,1000,9969127251714311350,1000,990,10.000000000000,0.010000000000,0.008125000000,false
regular,uniform,5000,1472129331581122723,5000,5031,31.000000000000,0.006200000000,0.008125000000,true
regular,uniform,20000,13130111777139195036,20000,19948,52.000000000000,0.002600000000,0.008125000000,true
regular,uniform,100000,5836411434070077577,100000,99675,325.000000000000,0.003250000000,0.008125000000,true
regular,uniform,1000000,17475253598361285858,1000000,997092,2908.000000000000,0.002908000000,0.008125000000,true
regular,uniform,5000000,11334457408231401695,5000000,5006492,6492.000000000000,0.001298400000,0.008125000000,true
datafusion,uniform,1000,13360569694745671557,1000,1000,0.000000000000,0.000000000000,0.008125000000,true
datafusion,uniform,5000,2836492475921615760,5000,4950,50.000000000000,0.010000000000,0.008125000000,false
datafusion,uniform,20000,9584984005384523695,20000,19973,27.000000000000,0.001350000000,0.008125000000,true
datafusion,uniform,100000,7191169390794326970,100000,100409,409.000000000000,0.004090000000,0.008125000000,true
datafusion,uniform,1000000,13958803400511702993,1000000,988540,11460.000000000000,0.011460000000,0.008125000000,false
datafusion,uniform,5000000,12573812419763002348,5000000,5011963,11963.000000000000,0.002392600000,0.008125000000,true
hip,uniform,1000,12140392090114401940,1000,993,7.000000000000,0.007000000000,0.008125000000,true
hip,uniform,5000,3912554892479257217,5000,5004,4.000000000000,0.000800000000,0.008125000000,true
hip,uniform,20000,10670616562591850174,20000,19852,148.000000000000,0.007400000000,0.008125000000,true
hip,uniform,100000,8276836994901103275,100000,99670,330.000000000000,0.003300000000,0.008125000000,true
hip,uniform,1000000,15034898664979093184,1000000,1003669,3669.000000000000,0.003669000000,0.008125000000,true
hip,uniform,5000000,13794023009776782077,5000000,4953642,46358.000000000000,0.009271600000,0.008125000000,false
regular,zipf,1000,11189304856345580967,415,414,1.000000000000,0.002409638554,0.008125000000,true
regular,zipf,5000,396066915023481266,1311,1312,1.000000000000,0.000762776506,0.008125000000,true
regular,zipf,20000,12044479219931868557,3190,3169,21.000000000000,0.006583072100,0.008125000000,true
regular,zipf,100000,4750743829963301272,6585,6584,1.000000000000,0.000151860289,0.008125000000,true
regular,zipf,1000000,16399158333893895667,8191,8199,8.000000000000,0.000976681724,0.008125000000,true
regular,zipf,5000000,10114246818217621966,8192,8199,7.000000000000,0.000854492188,0.008125000000,true
datafusion,zipf,1000,12140392090114401940,399,396,3.000000000000,0.007518796992,0.008125000000,true
datafusion,zipf,5000,3912554892479257217,1295,1287,8.000000000000,0.006177606178,0.008125000000,true
datafusion,zipf,20000,10670616562591850174,3200,3185,15.000000000000,0.004687500000,0.008125000000,true
datafusion,zipf,100000,8276836994901103275,6520,6504,16.000000000000,0.002453987730,0.008125000000,true
datafusion,zipf,1000000,15034898664979093184,8191,8202,11.000000000000,0.001342937370,0.008125000000,true
datafusion,zipf,5000000,13794023009776782077,8192,8202,10.000000000000,0.001220703125,0.008125000000,true
hip,zipf,1000,13360569694745671557,410,409,1.000000000000,0.002439024390,0.008125000000,true
hip,zipf,5000,2836492475921615760,1265,1262,3.000000000000,0.002371541502,0.008125000000,true
hip,zipf,20000,9584984005384523695,3129,3094,35.000000000000,0.011185682327,0.008125000000,false
hip,zipf,100000,7191169390794326970,6487,6467,20.000000000000,0.003083089255,0.008125000000,true
hip,zipf,1000000,13958803400511702993,8192,8187,5.000000000000,0.000610351562,0.008125000000,true
hip,zipf,5000000,12573812419763002348,8192,8170,22.000000000000,0.002685546875,0.008125000000,true
