distribution,n,k,tolerance,total_quantiles,within_count,within_rate,required_count,pass,max_rank_error
uniform,1000,200,0.020000000000,7,7,1.000000000000,7,true,0.006000000000
uniform,5000,200,0.020000000000,7,7,1.000000000000,7,true,0.008200000000
uniform,20000,200,0.020000000000,7,7,1.000000000000,7,true,0.008150000000
uniform,100000,200,0.020000000000,7,7,1.000000000000,7,true,0.005410000000
uniform,1000000,200,0.020000000000,7,7,1.000000000000,7,true,0.012529000000
uniform,5000000,200,0.020000000000,7,7,1.000000000000,7,true,0.005721800000
zipf,1000,200,0.020000000000,7,7,1.000000000000,7,true,0.148000000000
zipf,5000,200,0.020000000000,7,7,1.000000000000,7,true,0.149400000000
zipf,20000,200,0.020000000000,7,7,1.000000000000,7,true,0.156600000000
zipf,100000,200,0.020000000000,7,7,1.000000000000,7,true,0.153450000000
zipf,1000000,200,0.020000000000,7,7,1.000000000000,7,true,0.153762000000
zipf,5000000,200,0.020000000000,7,7,1.000000000000,7,true,0.153396800000
