distribution,n,k,tolerance,quantile,label,lower_q,upper_q,truth_lower,truth_upper,estimate,in_bound,rank_error
uniform,1000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,203667.983610666997,2591489.628453947138,1280168.343225796241,true,0.005000000000
uniform,1000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,8426423.762733127922,12117711.954260814935,10136113.946287440136,true,0.004000000000
uniform,1000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,23102656.594961050898,26753578.510875303298,25487132.782016802579,true,0.000000000000
uniform,1000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,48819019.815670609474,52659292.465743906796,51085606.558376491070,true,0.005000000000
uniform,1000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,73407953.063354805112,77077218.661443606019,75680222.222472488880,true,0.006000000000
uniform,1000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,88738364.947714149952,92270252.907921403646,90692936.693461507559,true,0.001000000000
uniform,1000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,97867192.029685854912,99929019.799707248807,99860792.533047601581,true,0.001000000000
uniform,5000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,4515.500130586326,1632063.365549041657,304597.210450063867,true,0.003400000000
uniform,5000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,6762774.308506359346,10538969.735408443958,8990693.227431423962,true,0.002600000000
uniform,5000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,22420014.836278006434,26992868.917350247502,25366232.215436216444,true,0.005400000000
uniform,5000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,48229472.289755724370,52397604.185986295342,51342013.246841207147,true,0.008200000000
uniform,5000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,73373757.802446782589,77153056.139506086707,75780521.069910749793,true,0.006000000000
uniform,5000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,87736128.892371073365,91580314.863496854901,90463928.319280669093,true,0.007400000000
uniform,5000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,97803820.430035009980,99986467.896554186940,99845096.855915442109,true,0.001600000000
uniform,20000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,1395.223087796716,2006723.245645303512,393126.032681068231,true,0.003900000000
uniform,20000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,8096563.099191113375,11985797.859628701583,9897681.599442932755,true,0.000050000000
uniform,20000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,22760041.715840455145,26753584.657888934016,24323686.053877051920,true,0.004300000000
uniform,20000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,47729575.652372643352,51598916.318356096745,49368144.980095326900,true,0.002850000000
uniform,20000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,72987910.320207804441,77000753.354990005493,74274267.894196137786,true,0.008150000000
uniform,20000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,87951734.642635390162,91897140.267960175872,89955761.974438413978,true,0.000850000000
uniform,20000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,97996508.604149162769,99993184.825175672770,99869744.971628695726,true,0.001300000000
uniform,100000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,3314.210919169725,2001017.020403961418,130772.300326764700,true,0.001190000000
uniform,100000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,8106799.029081735760,12185220.643279051408,9830898.293147984892,true,0.002830000000
uniform,100000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,23114190.311553999782,26980265.881188139319,25215869.514115322381,true,0.001280000000
uniform,100000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,48053779.340131804347,52103136.138574652374,49754269.983001947403,true,0.002870000000
uniform,100000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,73056725.584374114871,77028932.502474457026,75500760.936732053757,true,0.005410000000
uniform,100000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,87961047.744962334633,92102346.908268034458,90445390.946350842714,true,0.004160000000
uniform,100000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,98000021.645316600800,99998662.519507750869,99869515.105045482516,true,0.001270000000
uniform,1000000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,286.094776247303,1991746.398852845188,285011.080077324295,true,0.002855000000
uniform,1000000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,7980057.326762725599,11973031.976933691651,10298050.949022231624,true,0.003141000000
uniform,1000000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,22936692.238017313182,26950770.345401436090,25138223.076220136136,true,0.002057000000
uniform,1000000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,48006574.102690652013,52037917.975089304149,49909091.808376111090,true,0.001197000000
uniform,1000000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,72961826.392682150006,76984406.637020722032,76230971.013145804405,true,0.012529000000
uniform,1000000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,87992717.523873135448,92013003.814520567656,90502390.938291683793,true,0.005045000000
uniform,1000000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,98011452.136316716671,99999977.825964137912,99856088.766198992729,true,0.001490000000
uniform,5000000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,0.358695051439,1998145.603792900452,272636.983242491318,true,0.002755600000
uniform,5000000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,8005998.616659028456,12011359.463937079534,10571877.657458486035,true,0.005638600000
uniform,5000000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,23031067.898342531174,27032504.839202590287,24777638.782746572047,true,0.002487000000
uniform,5000000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,48019138.852243833244,52028382.983282148838,50011812.013124950230,true,0.000155400000
uniform,5000000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,73026327.439366355538,77016440.779475510120,74451765.210729211569,true,0.005721800000
uniform,5000000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,88003450.920514211059,92003046.965807512403,90119148.046898141503,true,0.001101000000
uniform,5000000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,97992690.107091829181,99999968.713227882981,99474632.512553587556,true,0.005190200000
zipf,1000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.148000000000
